#{"t_start": 1714203299.8476343, "env_id": "airsim_drone-v0"}
r,l,t
-79.596107,5,35.355248
-67.640492,37,167.954581
-14.801961,27,254.79855
259.014401,100,611.660135
-46.952263,24,683.594947
15.421751,46,844.314785
-45.362209,13,896.00583
-73.009094,9,943.639434
-74.444057,9,981.927753
-98.730929,6,1010.046161
-52.627378,13,1060.425658
381.373209,100,1391.434545
156.996065,83,1656.951097
-59.450625,65,1853.417866
-60.182297,14,1898.128505
-46.513851,15,1945.243428
-16.568483,31,2042.471906
-52.279591,23,2118.610559
66.655214,37,2233.761702
-49.857939,27,2312.589383
34.3201,51,2469.181404
184.55405,69,2693.106756
-6.364405,27,2771.823764
-63.223385,9,2803.502908
-61.094885,15,2852.857198
17.545068,51,3034.172971
8.313951,26,3127.417818
-42.474452,19,3191.206643
-58.173589,40,3323.403443
-80.606215,7,3351.614919
-23.615582,30,3460.58038
152.203452,86,3714.114569
307.685331,100,4047.103907
-23.90196,62,4248.292287
243.661949,85,4522.537657
202.307693,83,4806.272661
164.522731,87,5089.187185
-63.680537,13,5151.63717
124.532316,55,5315.173236
-83.931119,5,5338.373279
289.912536,100,5665.966797
-68.227957,8,5694.917433
-73.406554,9,5726.670475
-57.0185,21,5797.880147
-57.028008,10,5832.502939
-13.606162,26,5908.850128
33.34547,55,6084.419815
-14.092205,23,6172.313326
-8.35122,20,6242.547468
